4.52,4.52,4.52,4.52,0.462,0.462,0.462,0.462,0.91,0.91,0.91,-0.32,-2.99,1.44,0.744,0.744,4.44,4.44,4.44,4.44,0.538,0.538,0.538,0.538,0.33,0.33,0.33,-0.197,-3.99,2.25,0.757,0.757,1
5.98,5.98,5.98,5.98,0.5,0.5,0.5,0.5,1.22,1.22,1.22,-0.511,-5.09,1.25,0.855,0.855,4.17,4.17,4.17,4.17,0.333,0.333,0.333,0.333,0.66,0.66,0.66,-0.011,0.56,1.33,0.728,0.728,1
7.9,7.9,7.9,7.9,0.611,0.611,0.611,0.611,0.83,0.83,0.83,0.58,4.01,1.44,0.866,0.866,6.37,6.37,6.37,6.37,0.444,0.444,0.444,0.444,1.05,1.05,1.05,0.08,1.01,1.78,0.823,0.823,0
6.69,6.69,6.69,6.69,0.429,0.429,0.429,0.429,0.8,0.8,0.8,-0.247,-3.99,2.13,0.713,0.713,3.18,3.18,3.18,3.18,0.571,0.571,0.571,0.571,0.55,0.55,0.55,0.252,2.56,1.11,0.756,0.756,1
4.59,4.59,4.59,4.59,0.474,0.474,0.474,0.474,1.71,1.71,1.71,-0.616,-3.99,1.25,0.849,0.849,5.12,5.12,5.12,5.12,0.368,0.368,0.368,0.368,0.95,0.95,0.95,-0.116,-2.44,1.44,0.76,0.76,0
4.42,4.42,4.42,4.42,0.632,0.632,0.632,0.632,0.72,0.72,0.72,0.427,7.01,1,0.875,0.875,6.55,6.55,6.55,6.55,0.421,0.421,0.421,0.421,0.56,0.56,0.56,-0.074,-2.99,1.89,0.784,0.784,0
5.35,5.35,5.35,5.35,0.4,0.4,0.4,0.4,0.64,0.64,0.64,-0.258,-1.99,2.38,0.683,0.683,5.45,5.45,5.45,5.45,0.6,0.6,0.6,0.6,0.99,0.99,0.99,0.242,5.56,1.11,0.965,0.965,0
4.27,4.27,4.27,4.27,0.706,0.706,0.706,0.706,0.69,0.69,0.69,-0.297,0.01,1.22,0.792,0.792,3.81,3.81,3.81,3.81,0.471,0.471,0.471,0.471,0.51,0.51,0.51,0.234,5.42,0.78,0.871,0.871,1
5.08,5.08,5.08,5.08,0.467,0.467,0.467,0.467,0.71,0.71,0.71,-0.266,-3.99,2,0.792,0.792,8.33,8.33,8.33,8.33,0.312,0.312,0.312,0.312,2.09,2.09,2.09,-0.229,-3.66,1,0.702,0.702,1
3.56,3.56,3.56,3.56,0.688,0.688,0.688,0.688,0.53,0.53,0.53,0.34,3.56,0.44,0.862,0.862,5.79,5.79,5.79,5.79,0.533,0.533,0.533,0.533,0.48,0.48,0.48,0.264,4.01,1.22,0.813,0.813,1
4.25,4.25,4.25,4.25,0.667,0.667,0.667,0.667,0.95,0.95,0.95,-0.078,-1.99,1.88,0.687,0.687,6.21,6.21,6.21,6.21,0.5,0.5,0.5,0.5,0.59,0.59,0.59,0.422,3.56,1.11,0.851,0.851,1
